Gender,Age,Marital Status,Caste Category,Religion,Region,State,Qualification,Occupation,Sector of Employment,Annual Income,Pregnant or Lactating,Disabled (PWD),Senior Citizen,Member of Minority Community,Medical Proof of Delivery/Miscarriage,Scheme Name,Scheme Category,Eligible,Reason for Non-Eligibility,Name Present on Ration Card,Submitted Documents,Applying as NGO,NGO Registered under Societies Act,NGO Registered under Senior Citizens Rules 2009,NGO Runs Old Age Home,SHG Member,Registered Journalist,Proof of Profession,Medical Reason,Already Availed Max Limit,Studied in Govt School,Currently Pursuing,First-generation College Goer,Institution Type,Top 1000 Scorer,7.5% Quota Admission
Female,21,,ST,Hindu,,Tamil Nadu,,,,40677,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,Diploma,TRUE,Govt,,
Female,19,,ST,Muslim,,Tamil Nadu,,,,61765,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,TRUE,Govt,,
Female,19,,DNC,Hindu,,Tamil Nadu,,,,37611,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,TRUE,Govt,,
Female,17,,DNC,Christian,,Tamil Nadu,,,,29546,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,Diploma,TRUE,Govt,,
Female,17,,MBC,Christian,,Tamil Nadu,,,,65617,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,TRUE,Govt,,
Female,18,,DNC,Muslim,,Tamil Nadu,,,,19826,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,Polytechnic,TRUE,Govt,,
Female,17,,SC,Muslim,,Tamil Nadu,,,,61098,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,Diploma,TRUE,Govt,,
Female,18,,BC,Hindu,,Tamil Nadu,,,,34484,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,TRUE,Govt,,
Female,19,,MBC,Christian,,Tamil Nadu,,,,48260,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,Diploma,TRUE,Govt,,
Female,20,,ST,Christian,,Tamil Nadu,,,,78105,,,,,,Pudhumai Penn Scheme,,Yes,,,,,,,,,,,,,TRUE,UG,TRUE,Govt,,
